GenreIds,Id,OriginalLanguage,OriginalTitle,Overview,Popularity,ReleaseDate,Title,VoteAverage,VoteCount
"[10749, 18]",398818,en,Call Me by Your Name,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",41.659,2017-09-01,Call Me by Your Name,8.2,11403
"[10751, 35, 12, 16, 14]",522478,en,Peter Rabbit 2: The Runaway,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",41.623,2021-03-25,Peter Rabbit 2: The Runaway,7.2,720
"[27, 9648, 53]",23437,en,A Nightmare on Elm Street,"The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl, a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.",41.608,2010-04-30,A Nightmare on Elm Street,5.5,2497
"[28, 53, 878]",5548,en,RoboCop,"In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.",41.591,1987-07-17,RoboCop,7.3,4584
"[10752, 18, 36, 28]",531876,en,The Outpost,"A small unit of U.S. soldiers, alone at the remote Combat Outpost Keating, located deep in the valley of three mountains in Afghanistan, battles to defend against an overwhelming force of Taliban fighters in a coordinated attack. The Battle of Kamdesh, as it was known, was the bloodiest American engagement of the Afghan War in 2009 and Bravo Troop 3-61 CAV became one of the most decorated units of the 19-year conflict.",41.554,2020-06-24,The Outpost,6.9,928
"[28, 14, 53]",71676,en,Ghost Rider: Spirit of Vengeance,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.",41.548,2011-12-10,Ghost Rider: Spirit of Vengeance,5,3551
[16],221184,ja,龍-RYO-,"The son of a samurai who lost his parents during the attack of English ships on a Japanese town is given the name Ryo and becomes the bodyguard of Ryoma Sakamoto, a man who has his own plan to fight for the country.",41.504,2013-03-02,Ryo,7,3
"[16, 35, 14, 12, 10751]",667276,es,Las Leyendas: El Origen,"When a human baby crosses the Eternal Mirror, the portal between the living and the death opens its path to the beings from the underworld.",41.496,2021-02-15,Legend Quest: The Origin,8.3,233
"[35, 18, 10749]",22705,it,Tra(sgre)dire,"While scouting out apartments in London for her Venetian boyfriend, Carla rents an apartment that overlooks the Thames. There she meet the lesbian hyper-horny real estate agent Moira.",41.424,2000-01-28,Cheeky,5.5,224
"[16, 10749, 10751, 14]",16119,en,Cinderella III: A Twist in Time,"When Lady Tremaine steals the Fairy Godmother's wand and changes history, it's up to Cinderella to restore the timeline and reclaim her prince.",41.424,2007-02-06,Cinderella III: A Twist in Time,6.5,1161
"[878, 28, 12]",1924,en,Superman,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane. Clark must summon his superhero alter-ego when the nefarious Lex Luthor launches a plan to take over the world.",41.414,1978-12-14,Superman,7.1,3482
"[27, 9648, 53]",913290,en,Barbarian,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.",41.413,2022-09-08,Barbarian,6.9,1746
"[35, 10751]",9353,en,Nacho Libre,"Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed.",41.378,2006-06-16,Nacho Libre,6.4,1433
"[80, 14, 18]",1427,en,Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",41.374,2006-09-13,Perfume: The Story of a Murderer,7.4,4203
"[28, 53, 80, 12]",9316,th,องค์บาก,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.",41.36,2003-01-21,Ong-Bak,7.1,1558
"[28, 80, 53]",753232,en,The Commando,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals.",41.351,2022-01-07,The Commando,5.6,113
"[28, 18, 36, 10752]",13813,en,Defiance,"Based on a true story, during World War II, four Jewish brothers escape their Nazi-occupied homeland of West Belarus in Poland and join the Soviet partisans to combat the Nazis. The brothers begin the rescue of roughly 1,200 Jews still trapped in the ghettos of Poland.",41.339,2008-12-31,Defiance,6.8,1604
"[18, 36]",458131,en,The Best of Enemies,"Centers on the unlikely relationship between Ann Atwater, an outspoken civil rights activist, and C.P. Ellis, a local Ku Klux Klan leader who reluctantly co-chaired a community summit, battling over the desegregation of schools in Durham, North Carolina during the racially-charged summer of 1971. The incredible events that unfolded would change Durham and the lives of Atwater and Ellis forever.",41.332,2019-04-05,The Best of Enemies,7.4,372
"[14, 35, 16, 878, 10751]",228161,en,Home,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",41.323,2015-03-18,Home,6.8,3706
"[28, 53]",1024127,en,King of Killers,"Garan is a part of a group of international hitmen who are contracted to take out the most dangerous killer in the world, only to find out that they're the ones being hunted.",41.316,2023-09-01,King of Killers,7,72
"[12, 28, 53, 878]",604,en,The Matrix Reloaded,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",41.274,2003-05-15,The Matrix Reloaded,7,10188
"[16, 18]",378064,ja,映画 聲の形,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",41.256,2016-09-17,A Silent Voice: The Movie,8.4,3583
"[27, 53, 9648]",522681,en,Escape Room,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.",41.241,2019-01-03,Escape Room,6.5,4327
[35],986054,en,Theater Camp,"After the indomitable and beloved founder of a scrappy theater camp in upstate New York falls into a coma, the eccentric staff must band together with her clueless ""crypto-bro"" son to keep the thespian paradise afloat.",41.239,2023-07-13,Theater Camp,6.5,60
[18],10867,it,Malèna,"During WWII, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.",41.235,2000-03-16,Malena,7.4,2025
"[28, 9648, 53]",27576,en,Salt,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",41.21,2010-07-21,Salt,6.4,5135
"[16, 10751, 35]",1058732,en,The Simpsons Meet the Bocellis in Feliz Navidad,"This Christmas, Homer surprises Marge with the ultimate gift: an unforgettable performance from Italian opera superstar Andrea Bocelli and his children Matteo and Virginia.",41.139,2022-12-15,The Simpsons Meet the Bocellis in Feliz Navidad,6,62
"[28, 12, 14]",338970,en,Tomb Raider,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared.",41.134,2018-03-05,Tomb Raider,6.4,7339
[18],527776,en,Overcomer,"After reluctantly agreeing to coach cross-country, high school basketball Coach John Harrison helps the least likely runner attempt the impossible in the biggest race of the year.",41.12,2019-08-22,Overcomer,7.6,226
"[80, 28]",823999,it,Diabolik - Ginko all'attacco!,"Diabolik nearly gets caught in Inspector Ginko's latest trap, leaving his partner in crime Eva Kant behind in the escape. Furious, Eva offers Ginko her help in capturing the King of Terror, but the former has to face the return of an old flame of his.",41.087,2022-11-17,Diabolik - Ginko Attacks,6.1,397
"[878, 18]",185,en,A Clockwork Orange,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",41.07,1971-12-19,A Clockwork Orange,8.2,12004
"[53, 27]",360784,en,Hidden,A family takes refuge in a fallout shelter to avoid a dangerous outbreak.,41.038,2015-09-15,Hidden,6.8,870
"[27, 53]",11361,en,Halloween 5: The Revenge of Michael Myers,"Presumed dead after a shoot-out with the Haddonfield police, Michael Myers is secretly nursed back to health — and returns a year later to kill again and once more targets his young niece, Jamie. Jamie is now recovering in the local children's hospital after attacking her stepmother and losing her voice. Her mental link with her evil uncle may be the key to uprooting her family tree.",41.028,1989-10-12,Halloween 5: The Revenge of Michael Myers,5.4,1078
"[10751, 18]",770156,en,Lucy Shimmers And The Prince Of Peace,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,40.996,2020-10-19,Lucy Shimmers And The Prince Of Peace,8.5,174
"[28, 18]",346,ja,七人の侍,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",40.995,1954-04-26,Seven Samurai,8.5,3260
[35],2123,en,"Me, Myself & Irene","Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",40.952,2000-06-22,"Me, Myself & Irene",6.6,3523
"[14, 12, 28]",919355,en,Dragon Knight,"Many years after the war has been lost, and all the dragons slain, a lone knight travels the lands of Agonos seeking to raise an army against the demon lord Abaddon. When a healer's vision reveals that one dragon still lives, and together with an eager young squire, the knight sets off in search of the fabled creature. As the armies of Abaddon descend on the human kingdoms, the dragon is their last hope of fending off the horde, before it lays waste to the lands of men. But does the creature even exist? And if it does, will it fight for them once more?",40.905,2022-03-21,Dragon Knight,6.3,47
"[10751, 16, 14, 27]",116322,es,La Leyenda de la Llorona,"Based on a famous Mexican legend, a group of kids must stop the ghost of a woman whose guilt over the drowning of her own children leads her to abduct youngsters who wander the woods at night.",40.887,2011-10-21,The Legend of La Llorona,7.8,228
"[10751, 35]",11674,en,101 Dalmatians,"An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",40.879,1996-11-27,101 Dalmatians,5.9,3143
"[28, 12, 53]",22832,en,Ninja Assassin,"Ninja Assassin follows Raizo, one of the deadliest assassins in the world. Taken from the streets as a child, he was transformed into a trained killer by the Ozunu Clan, a secret society whose very existence is considered a myth. But haunted by the merciless execution of his friend by the Clan, Raizo breaks free from them and vanishes. Now he waits, preparing to exact his revenge.",40.874,2009-09-29,Ninja Assassin,6.6,1380
"[27, 53, 878]",170,en,28 Days Later,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",40.871,2002-10-31,28 Days Later,7.2,6139
[],249578,pt,Tabu,"The fictional encounter in Rio de Janeiro, Brazil (in the 30s) between popular songwriter Lamartine Babo and inconoclast poet and playwright Oswald de Andrade.",40.865,1983-03-10,Tabu,5.8,8
[18],22881,en,The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",40.86,2009-11-20,The Blind Side,7.7,5888
[35],10358,en,Zack and Miri Make a Porno,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",40.779,2008-09-18,Zack and Miri Make a Porno,6.3,2197
"[35, 10751]",9969,en,Deck the Halls,"Determined to unseat Steve Finch's reign as the town's holiday season king, Buddy Hall plasters his house with so many decorative lights that it'll be visible from space! When their wives bond, and their kids follow suit, the two men only escalate their rivalry - and their decorating.",40.763,2006-11-22,Deck the Halls,5.5,580
"[28, 53]",1572,en,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",40.752,1995-05-19,Die Hard: With a Vengeance,7.3,5624
"[35, 878, 28]",9397,en,Evolution,"A comedy that follows the chaos that ensues when a meteor hits the Earth carrying alien life forms that give new meaning to the term ""survival of the fittest."" David Duchovny, Orlando Jones, Seann William Scott, and Julianne Moore are the only people standing between the aliens and world domination... which could be bad news for the Earth.",40.729,2001-06-08,Evolution,6.1,2031
"[27, 53, 18]",848058,es,Cerdita,A bullied overweight teenager sees a glimpse of hope when her tormentors are brutally abducted by a mesmerizing stranger.,40.717,2022-10-07,Piggy,6.7,463
"[18, 28, 10752]",616,en,The Last Samurai,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",40.699,2003-12-05,The Last Samurai,7.6,6326
"[35, 10749]",1824,en,50 First Dates,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",40.681,2004-02-13,50 First Dates,6.8,6730
"[10752, 18, 28]",653851,en,Devotion,The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,40.671,2022-11-23,Devotion,7.2,576
"[28, 12, 878]",424783,en,Bumblebee,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug.",40.661,2018-12-15,Bumblebee,6.7,5666
"[27, 9648, 53]",1933,en,The Others,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",40.658,2001-08-02,The Others,7.6,5958
"[18, 10749]",173129,zh,金瓶風月,"A corrupt local official, Xi Men Qing, who lusts after women and money, pursues his brother's young wife, Lee Ping Er. Ping finds Men attractive, and under her drunken husband's nose, she and Men work their way through the illustrations of a pillow book, the ""Golden Lotus."" Men pursues the same feat with his fourth concubine, Pan Jing Lien, who lives in the compound next to Ping. Jing's jealousy compounds a tale of humiliation, childbirth, death, and depravity. Does karma or enlightenment await anyone?",40.655,1991-05-09,The Golden Lotus: Love and Desire,6.2,16
"[80, 18, 9648, 53]",1949,en,Zodiac,A cartoonist teams up with an ace reporter and a law enforcement officer to track down an elusive serial killer.,40.648,2007-03-02,Zodiac,7.5,9650
"[12, 35, 14, 10751, 18]",381289,en,A Dog's Purpose,A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.,40.619,2017-01-19,A Dog's Purpose,7.6,3093
[27],758769,en,Unwelcome,"Londoners Maya and Jamie escape their urban nightmare to the tranquility of rural Ireland only to discover malevolent, murderous goblins lurking in the gnarled, ancient wood at the foot of their new garden. When heavily pregnant Maya’s relationship with a local family turns sour, who – or what – will come to her rescue and to what extremes will she go to protect her unborn child?",40.6,2023-01-27,Unwelcome,5.9,104
"[16, 10751, 12, 35]",364689,en,Ferdinand,"Ferdinand, a little bull, prefers sitting quietly under a cork tree just smelling the flowers versus jumping around, snorting, and butting heads with other bulls. As Ferdinand grows big and strong, his temperament remains mellow, but one day five men come to choose the ""biggest, fastest, roughest bull"" for the bullfights in Madrid and Ferdinand is mistakenly chosen.  Based on the classic 1936 children's book by Munro Leaf.",40.57,2017-12-09,Ferdinand,7.2,2664
"[28, 878, 12]",118340,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",40.563,2014-07-30,Guardians of the Galaxy,7.9,26721
"[18, 9648, 53]",865382,en,Prisoner's Daughter,"Released from prison with terminal cancer, Max tries to reconnect with his estranged daughter and the grandson he’s never known. When his daughter’s abusive, drug-addicted ex-husband reappears, Max’s violent past comes back to haunt them all.",40.543,2023-06-30,Prisoner's Daughter,6.3,24
"[80, 18, 53]",862965,en,Emily the Criminal,"Desperate for income, Emily takes a shady gig buying goods with stolen credit cards supplied by a charismatic middleman named Youcef. Seduced by the quick cash and illicit thrills, they hatch a plan to take their business to the next level.",40.543,2022-08-12,Emily the Criminal,6.8,611
[99],1128514,en,Big Sur Gay Porn,Cult filmmaker Tom DeSimone (Reform School Girls; Erotikus: A History of the Gay Movie) revisits the production of a lost gay film and resurrects youthful adventures on the California coast. From the creators of Raw! Uncut! Video!.,40.52,2023-06-16,Big Sur Gay Porn,8.5,2
"[28, 80]",24,en,Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",40.439,2003-10-10,Kill Bill: Vol. 1,8,16243
"[18, 10749]",11012,en,Damage,The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,40.433,1992-12-02,Damage,6.6,403
"[36, 18, 28]",617653,en,The Last Duel,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",40.425,2021-10-13,The Last Duel,7.5,2975
"[16, 14, 27, 28, 9648]",1003579,en,Batman: The Doom That Came to Gotham,"Explorer Bruce Wayne accidentally unleashes an ancient evil, and returns to Gotham after being away for two decades. There, Batman battles Lovecraftian supernatural forces and encounters allies and enemies such as Green Arrow, Ra's al Ghul, Mr. Freeze, Killer Croc, Two-Face and James Gordon.",40.389,2023-03-10,Batman: The Doom That Came to Gotham,6.7,145
"[16, 53]",10494,ja,PERFECT BLUE,"Pop singer Mima Kirigow looks forward to a bright new career when she quits her chart-topping trio to become an actress. When she lands a role in a sexually charged murder mystery, Mima’s life begins to fall apart.",40.367,1998-02-28,Perfect Blue,8.3,2196
"[27, 53]",11357,en,Halloween 4: The Return of Michael Myers,"The apparently comatose Michael Myers is being transferred from one hospital to another, but he wakes up when the ambulance crew talk about his surviving niece, Jamie. After slaughtering his attendants, Myers sets out to find his one living relative who is, fortunately, being cared for by a kind and resourceful foster sister named Rachel. Meanwhile, the ever-cautious Dr. Loomis remains on the killer's path.",40.353,1988-10-21,Halloween 4: The Return of Michael Myers,6.2,1744
[18],316029,en,The Greatest Showman,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",40.342,2017-12-20,The Greatest Showman,7.9,8875
"[18, 10749, 14]",122906,en,About Time,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",40.324,2013-09-04,About Time,7.9,7812
"[878, 28, 12]",13475,en,Star Trek,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",40.308,2009-05-06,Star Trek,7.4,9349
"[16, 35, 10751]",22794,en,Cloudy with a Chance of Meatballs,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",40.29,2009-09-17,Cloudy with a Chance of Meatballs,6.6,5488
"[35, 18, 36]",792293,en,Dumb Money,"Vlogger Keith Gill sinks his life savings into GameStop stock and posts about it. When social media starts blowing up, so do his life and the lives of everyone following him. As a stock tip becomes a movement, everyone gets rich—until the billionaires fight back, and both sides find their worlds turned upside down.",40.289,2023-09-15,Dumb Money,6.7,36
[18],695568,en,Finding Grace,"A struggling family, already on the verge of disintegration, faces new challenges that will test their faith in God and each other.",40.264,2020-04-21,Finding Grace,5.7,19
"[878, 12]",693134,en,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",40.234,2024-03-13,Dune: Part Two,0,0
"[28, 35, 80, 53]",9737,en,Bad Boys,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",40.222,1995-04-07,Bad Boys,6.8,5777
"[10751, 16, 14]",16366,en,Joseph: King of Dreams,"In this animated retelling of the story from the Bible's Book of Genesis, Joseph's gift of dream interpretation and his brilliantly colored coat inspires jealousy in his brothers.",40.203,2000-11-07,Joseph: King of Dreams,6.8,918
[18],750209,ko,위험한 과외,"Kang-seo, a prestigious college student who lived as a tutor and a convenience store part-timer received a tutoring request one day. Kang-seo, who was tutoring the gangster's daughter, goes to bed with the gangster's newly remarried wife, and is soon threatened by the gangster.",40.167,2020-10-02,Dangerous Lesson,5.3,4
"[18, 10749]",1135855,id,Kelas Bintang - Mangga Muda,Kelas Bintang is back with this pack of drama called Mangga Muda.,40.146,2023-05-10,Kelas Bintang - Mangga Muda,8,1
"[80, 35, 28]",402900,en,Ocean's Eight,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",40.093,2018-06-07,Ocean's Eight,7,7797
"[12, 35, 878]",196,en,Back to the Future Part III,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",40.087,1990-05-25,Back to the Future Part III,7.5,9727
"[10770, 35, 10749]",1166012,en,Checkin' It Twice,A journeyman hockey player falls for a real estate agent in a career crisis when he's traded to her hometown and moves into the cottage in her hockey-loving family's backyard.,40.029,2023-10-20,Checkin' It Twice,8,2
"[35, 18]",915523,en,Wildflower,The story of Bea Johnson from birth to graduation as she navigates life with an intellectually disabled parent and an extended family who can't quite agree on the best way to help.,40.004,2023-03-17,Wildflower,7.5,31
"[18, 10749]",1156593,es,Culpa tuya,,39.98,,Your Fault,0,0
"[28, 878, 12]",841,en,Dune,"In the year 10,191, the world is at war for control of the desert planet Arrakis—the only place where the space-travel substance Melange 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters.",39.93,1984-12-14,Dune,6.2,2614
"[80, 53, 18]",597208,en,Nightmare Alley,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.,39.904,2021-12-02,Nightmare Alley,7,2553
"[14, 28, 27]",52520,en,Underworld: Awakening,"Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers' survival.",39.894,2012-01-19,Underworld: Awakening,6.3,3790
[35],885243,fr,Juste ciel !,Five nuns set their sights on winning the cash prize in a major cycling race to raise money to renovate a dilapidated hospice. The only hitch is that none of them can ride a bicycle.,39.885,2023-02-15,Oh My Goodness!,4.9,19
"[16, 35, 10751, 14]",751741,en,Night at the Museum: Kahmunrah Rises Again,"Nick Daley is following in his father's footsteps as night watchman at the American Museum of Natural History, so he knows what happens when the sun goes down. But when the maniacal ruler Kahmunrah escapes, it is up to Nick to save the museum once and for all.",39.881,2022-12-09,Night at the Museum: Kahmunrah Rises Again,6.6,221
[18],197836,it,La bella e la bestia,"Decameron-style collection of entertaining short stories with such diverse themes as nymphomania, bestiality, and masochism.",39.878,1977-04-18,Beauty and the Beast,6.6,4
"[53, 9648]",181886,en,Enemy,A mild-mannered college professor discovers a look-alike actor and delves into the other man's private affairs.,39.855,2013-12-31,Enemy,6.9,5407
"[9648, 53, 27]",471506,en,Greta,"A young woman returns a lonely widow’s lost purse, leading to an unlikely relationship between the two — until the young woman discovers the widow might not be all that she seems.",39.843,2018-09-06,Greta,6.6,1212
"[28, 53, 878]",500664,en,Upgrade,"A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life.",39.837,2018-05-31,Upgrade,7.5,3931
"[16, 10751, 12, 878]",15512,en,Monsters vs Aliens,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",39.826,2009-03-19,Monsters vs Aliens,6.2,4301
"[28, 18]",307081,en,Southpaw,"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most.",39.805,2015-03-24,Southpaw,7.4,5197
"[16, 14]",843241,ja,劇場版 七つの大罪 光に呪われし者たち,"With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",39.791,2021-07-02,The Seven Deadly Sins: Cursed by Light,7.7,446
"[10752, 28, 18]",9567,en,Tears of the Sun,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",39.766,2003-03-07,Tears of the Sun,6.8,2084
